code,name,category,price,entry_date,expiry_date,stock,unit,shelf
CUP001,Jabón de Tocador DOVE Original 90g Paquete,Cuidado Personal,11.90,2024-10-12,2024-10-25,12,un,0
CUP002,Toallas Higiénicas NOSOTRAS Buenas Noches Nocturna Natural Paquete,Cuidado Personal,15.90,2024-10-12,2024-10-28,14,un,0
CUP003,Pasta Dental AQUAFRESH Triple Protección - Paquete 3 un x Tubo,Cuidado Personal,15.10,2024-10-12,2024-10-27,16,ml,0
CUP004,Jabón de Tocador DOVE Leche de Coco Barra 90g Paquete,Cuidado Personal,11.90,2024-10-12,2024-10-26,11,un,0
CUP005,Protectores Diarios NOSOTRAS Normal Caja,Cuidado Personal,18.50,2024-10-12,2024-10-29,18,un,0
CUP006,Shampoo HEAD & SHOULDERS 2 En 1 Suave Y Manejable Control Caspa Frasco,Cuidado Personal,39.90,2024-10-12,2024-10-30,20,ml,0
CUP007,Shampoo HEAD & SHOULDERS Protección Caída con Cafeína Control Caspa Frasco,Cuidado Personal,39.90,2024-10-12,2025-03-15,17,ml,0
CUP008,Shampoo HEAD & SHOULDERS Limpieza Renovadora Control Caspa Frasco,Cuidado Personal,39.90,2024-10-12,2025-03-25,19,ml,0
CUP009,Jabón DOVE Karité y Vainilla Barra 90g Paquete,Cuidado Personal,11.90,2024-10-12,2025-04-01,16,un,0
CUP010,Pasta Dental DENTO Herbal Tubo 90g Paquete,Cuidado Personal,12.00,2024-10-12,2025-04-10,15,un,0
CUP011,Jabón de Tocador JOHNSONS Almendra y Avena Barra 110g Paquete,Cuidado Personal,9.90,2024-10-12,2025-04-15,14,un,0
CUP012,Shampoo SEDAL Ceramidas Frasco 340ml + Acondicionador Frasco,Cuidado Personal,10.90,2024-10-12,2025-05-01,18,ml,0
CUP013,Toallas Higiénicas NOSOTRAS Alas Tela Gel Paquete,Cuidado Personal,11.50,2024-10-12,2025-05-05,20,un,0
CUP014,Jabón Líquido Antibacterial BACTERION Coco y Vainilla Doypack,Cuidado Personal,14.60,2024-10-12,2025-05-15,17,l,0
CUP015,Toalla Higiénica LADYSOFT Normal Paquete,Cuidado Personal,14.90,2024-10-12,2025-05-20,19,un,0
