code,name,category,price,entry_date,expiry_date,stock,unit,shelf
FRU001,Tomate Italiano,Frutas y Verduras,3.99,2024-10-12,2024-10-26,14,un,0
FRU002,Plátano de Seda,Frutas y Verduras,2.59,2024-10-12,2024-10-27,12,un,0
FRU003,Palta Fuerte,Frutas y Verduras,9.90,2024-10-12,2024-10-28,15,un,0
FRU004,Papaya,Frutas y Verduras,3.20,2024-10-12,2024-10-25,13,un,0
FRU005,Limón Ácido,Frutas y Verduras,3.59,2024-10-12,2024-10-29,19,un,0
FRU006,Zanahoria,Frutas y Verduras,2.59,2024-10-12,2024-10-30,18,un,0
FRU007,Papa Blanca Yungay,Frutas y Verduras,3.49,2024-10-12,2024-11-01,16,un,0
FRU008,Papa Amarilla Tumbay,Frutas y Verduras,6.99,2024-10-12,2025-01-15,11,un,0
FRU009,Zapallo Macre,Frutas y Verduras,2.39,2024-10-12,2025-02-01,10,un,0
FRU010,Manzana Delicia,Frutas y Verduras,5.80,2024-10-12,2025-03-10,15,un,0
FRU011,Naranja para Jugo,Frutas y Verduras,1.99,2024-10-12,2025-03-20,17,un,0
FRU012,Vainita Americana,Frutas y Verduras,5.79,2024-10-12,2025-04-05,14,un,0
FRU013,Lechuga Americana BELL's Bolsa,Frutas y Verduras,1.69,2024-10-12,2025-05-01,15,g,0
FRU014,Camote Amarillo Procesado,Frutas y Verduras,3.19,2024-10-12,2025-05-15,13,un,0
FRU015,Papa Blanca,Frutas y Verduras,3.29,2024-10-12,2025-05-20,11,un,0
FRU016,Espinaca BELL'S Bolsa,Frutas y Verduras,4.19,2024-10-12,2025-06-10,12,g,0
FRU017,Pimiento Morrón,Frutas y Verduras,5.59,2024-10-12,2025-06-25,18,un,0
