code,name,category,price,entry_date,expiry_date,stock,unit
JUG001,Autos HOT WHEELS Pullback 13cm 72190 (Modelos Aleatorios),Juguetería,8.90,2024-10-12,2025-10-12,1,un
JUG002,Auto Básico Hot Wheels Surtido Sorpresa,Juguetería,9.90,2024-10-12,2025-10-12,1,un
JUG003,Vehículo de Juguete HOT WHEELS Die Cast Basics Auto Básico,Juguetería,9.90,2024-10-12,2025-10-12,1,un
JUG004,Micrófono Musical CHENGJUN TOYS 5830,Juguetería,14.90,2024-10-12,2025-10-12,1,un
JUG005,Juego De Mesa Mattel Games Uno No Mercy Hwv18,Juguetería,26.95,2024-10-12,2025-10-12,1,un
JUG006,Role Play BARBIE Electrodomestico Cafetera,Juguetería,9.90,2024-10-12,2025-10-12,1,un
JUG007,Role Play BARBIE Electrodomestic Licuadora,Juguetería,9.90,2024-10-12,2025-10-12,1,un
JUG008,Role Play BARBIE Batidor,Juguetería,9.90,2024-10-12,2025-10-12,1,un
JUG009,Role Play BARBIE Tostador,Juguetería,9.90,2024-10-12,2025-10-12,1,un
JUG010,Set de Juego de Cocina BEI DI YUAN TOYS 29 Piezas,Juguetería,49.90,2024-10-12,2025-10-12,1,un
JUG011,Camión Sorpresa para Pista HOT WHEELS (Modelos Aleatorios),Juguetería,34.90,2024-10-12,2025-10-12,1,un
JUG012,Set De Swat Armable HUANGER 371 Pcs,Juguetería,14.90,2024-10-12,2025-10-12,1,un
JUG013,Peluche KISSES PKST-1010 80cm,Juguetería,19.90,2024-10-12,2025-10-12,1,un
JUG014,Vehículo de Juguete HOT WHEELS Pullback 13Cm 6 Pack,Juguetería,39.90,2024-10-12,2025-10-12,1,un
JUG015,Juego de Mesa CashFlow 101 - Robert T. Kiyosaki,Juguetería,43.90,2024-10-12,2025-10-12,1,un
JUG016,Carrito de Supermercado MKB 922-10A Verde,Juguetería,39.90,2024-10-12,2025-10-12,1,un
JUG017,Nave Espacial Básico Armable HUANGER 500 Pcs,Juguetería,29.90,2024-10-12,2025-10-12,1,un
JUG018,Animalitos Pop-Up HUANGER He8075,Juguetería,19.90,2024-10-12,2025-10-12,1,un
JUG019,Pista De Carreras JIN HONG XIN TOYS 4 Pcs 5599-98A,Juguetería,24.90,2024-10-12,2025-10-12,1,un
JUG020,Set De Bombero Armable HUANGER 493 Pcs,Juguetería,14.90,2024-10-12,2025-10-12,1,un
