code,name,category,price,entry_date,expiry_date,stock,unit
LAH001,Leche Reconstituida Entera GLORIA Lata 390g Paquete,Lácteos y Huevos,23.30,2024-10-12,2025-10-12,6,un
LAH002,Huevos Pardos BELL'S Bandeja,Lácteos y Huevos,20.90,2024-10-12,2025-10-12,30,un
LAH003,Leche GLORIA Zero Lacto Lata 390g Paquete,Lácteos y Huevos,24.80,2024-10-12,2025-10-12,6,un
LAH004,Mantequilla GLORIA Pote,Lácteos y Huevos,16.50,2024-10-12,2025-10-12,390,g
LAH005,Huevos Pardos LA CALERA Paquete,Lácteos y Huevos,16.90,2024-10-12,2025-10-12,30,un
LAH006,Leche UHT sin Lactosa GLORIA Zero Caja 1L Paquete,Lácteos y Huevos,14.90,2024-10-12,2025-10-12,3,un
LAH007,Leche Light GLORIA Lata 390g Paquete,Lácteos y Huevos,24.80,2024-10-12,2025-10-12,6,un
LAH008,Yogurt Parcialmente Descremado GLORIA Sabor a Fresa Galonera,Lácteos y Huevos,9.20,2024-10-12,2025-10-12,1.7,kg
LAH009,Mezcla Láctea IDEAL Cremosita Lata 390g Paquete,Lácteos y Huevos,20.90,2024-10-12,2025-10-12,6,un
LAH010,Mantequilla con Sal LAIVE Barra,Lácteos y Huevos,9.90,2024-10-12,2025-10-12,180,g
LAH011,Huevos de Gallina BELL'S Pardos Bandeja,Lácteos y Huevos,10.99,2024-10-12,2025-10-12,15,un
LAH012,Leche UHT GLORIA Entera Pack 3un x,Lácteos y Huevos,14.50,2024-10-12,2025-10-12,1,l
LAH013,Leche Reconstituida Entera GLORIA Lata 390g Paquete,Lácteos y Huevos,45.50,2024-10-12,2025-10-12,12,un
LAH014,Leche GLORIA Niños Lata 390g Paquete,Lácteos y Huevos,24.80,2024-10-12,2025-10-12,6,un
LAH015,Leche sin Lactosa LAIVE Botella 390g Paquete,Lácteos y Huevos,23.29,2024-10-12,2025-10-12,6,un
LAH016,Mantequilla con Sal GLORIA Paquete,Lácteos y Huevos,11.90,2024-10-12,2025-10-12,180,g
LAH017,Leche sin Lactosa LAIVE UHT Caja 946ml Paquete,Lácteos y Huevos,20.90,2024-10-12,2025-10-12,4,un
LAH018,Yogurt Parcialmente Descremado GLORIA Sabor a Vainilla Galonera,Lácteos y Huevos,9.20,2024-10-12,2025-10-12,1.7,kg
LAH019,Mezcla Láctea BONLÉ Familiar 6 Pack Caja,Lácteos y Huevos,19.90,2024-10-12,2025-10-12,480,g
LAH020,Mezcla Láctea LAIVE Sin Lactosa Caja 480g Paquete,Lácteos y Huevos,22.49,2024-10-12,2025-10-12,6,un
