code,name,category,price,entry_date,expiry_date,stock,unit
LIM001,Bio Bolsa PLAZAVEA Mediana,Limpieza,0.20,2024-10-12,2025-10-12,1,un
LIM002,Papel Higiénico SUAVE Resistemax Doble Hoja Paquete,Limpieza,21.90,2024-10-12,2025-10-12,40,un
LIM003,Jabón BOLIVAR Cuidado Total Bolsa,Limpieza,5.70,2024-10-12,2025-10-12,380,g
LIM004,Papel Toalla PARACAS Premium Rollazo Paquete,Limpieza,9.90,2024-10-12,2025-10-12,4,un
LIM005,Lejía SAPOLIO Galonera,Limpieza,10.50,2024-10-12,2025-10-12,5,l
LIM006,Papel Toalla BOREAL Megarollo Paquete,Limpieza,14.90,2024-10-12,2025-10-12,6,un
LIM007,Papel Toalla BOREAL Megarollo Paquete,Limpieza,5.50,2024-10-12,2025-10-12,2,un
LIM008,Detergente en Polvo OPAL Ultra Bolsa,Limpieza,25.90,2024-10-12,2025-10-12,2.4,kg
LIM009,Suavizante SUAVITEL Fresca Primavera,Limpieza,18.60,2024-10-12,2025-10-12,2.3,l
LIM010,Lavavajillas SAPOLIO Limón Pote,Limpieza,6.00,2024-10-12,2025-10-12,800,g
LIM011,Lavavajillas SAPOLIO Manzana Pote,Limpieza,6.00,2024-10-12,2025-10-12,800,g
LIM012,Suavizante BOLIVAR Floral Frasco,Limpieza,23.90,2024-10-12,2025-10-12,2.8,l
LIM013,Detergente en Polvo MARSELLA Lavanda y Rosas Bolsa,Limpieza,38.90,2024-10-12,2025-10-12,4,kg
LIM014,Papel Higiénico ELITE Clásico Doble Hoja Paquete,Limpieza,26.90,2024-10-12,2025-10-12,40,un
LIM015,Papel Higiénico HIGIENOL Mega Rollo Doble Hoja Paquete,Limpieza,44.50,2024-10-12,2025-10-12,24,un
LIM016,Papel Higiénico SUAVE Cuidado Completo Doble Hoja Paquete,Limpieza,37.50,2024-10-12,2025-10-12,40,un
LIM017,Papel Toalla NOVA Clásico Mega Rollo Paquete,Limpieza,7.20,2024-10-12,2025-10-12,2,un
LIM018,Servilletas de Papel ELITE Dobladas en 4 Paquete,Limpieza,4.50,2024-10-12,2025-10-12,100,un
LIM019,Lejía CLOROX Tradicional Botella,Limpieza,9.90,2024-10-12,2025-10-12,4,kg
LIM020,Detergente en Polvo BOLIVAR Cuidado Total Floral Bolsa,Limpieza,32.70,2024-10-12,2025-10-12,2.4,kg
