code,name,category,price,entry_date,expiry_date,stock,unit
QF001,Pack Mixto Queso Edam + Jamón Americano LAIVE Paquete,Quesos y Fiambres,9.90,2024-10-12,2025-01-12,300,g
QF002,Queso Edam LAIVE Paquete,Quesos y Fiambres,21.90,2024-10-12,2025-01-12,440,g
QF003,Queso Crema PHILADELPHIA Brick Original Paquete,Quesos y Fiambres,10.80,2024-10-12,2025-01-12,180,g
QF004,Queso Fresco SBELT,Quesos y Fiambres,34.50,2024-10-12,2025-01-12,1,un
QF005,Pack Jamón Pizza BRAEDT Queso Edam Paquete,Quesos y Fiambres,12.90,2024-10-12,2025-01-12,370,g
QF006,Pack Hot Dog S. SUIZA Paquete,Quesos y Fiambres,11.90,2024-10-12,2025-01-12,600,g
QF007,Queso Fresco BELL'S Paquete 300g PVEA,Quesos y Fiambres,9.90,2024-10-12,2025-01-12,1,un
QF008,Jamón Pizzero BRAEDT Paquete,Quesos y Fiambres,12.90,2024-10-12,2025-01-12,480,g
QF009,Queso Edam BRAEDT Paquete,Quesos y Fiambres,22.50,2024-10-12,2025-01-12,440,g
QF010,Queso Gouda BRAEDT Paquete,Quesos y Fiambres,11.90,2024-10-12,2025-01-12,180,g
QF011,Queso Edam BRAEDT Paquete,Quesos y Fiambres,11.90,2024-10-12,2025-01-12,180,g
QF012,Queso Fresco BONLÉ,Quesos y Fiambres,34.20,2024-10-12,2025-01-12,1,un
QF013,Queso Fresco GLORIA Paquete,Quesos y Fiambres,35.20,2024-10-12,2025-01-12,250,g
QF014,Queso Fresco sin Lactosa LAIVE,Quesos y Fiambres,28.70,2024-10-12,2025-01-12,1,un
QF015,Pack Hot Dog BRAEDT Paquete,Quesos y Fiambres,11.40,2024-10-12,2025-01-12,600,g
QF016,Jamón de Pavita BRAEDT Balance Paquete,Quesos y Fiambres,10.50,2024-10-12,2025-01-12,200,g
QF017,Tocino Ahumado CASA EUROPA Paquete,Quesos y Fiambres,16.90,2024-10-12,2025-01-12,200,g
QF018,Queso Mozzarella en Bola BONLÉ Paquete,Quesos y Fiambres,10.90,2024-10-12,2025-01-12,250,g
QF019,Queso Fresco Pasteurizado Light BELL'S Paquete,Quesos y Fiambres,10.50,2024-10-12,2025-01-12,300,g
QF020,Salchicha Huachana BELL'S Paquete,Quesos y Fiambres,4.90,2024-10-12,2025-01-12,200,g
