code,name,category,price,entry_date,expiry_date,stock,unit,shelf
ABA001,Aceite de Soya SAO Botella,Abarrotes,6.50,2024-10-12,2024-10-18,12,ml,0
ABA002,Fideo Spaghetti DON VITTORIO Bolsa,Abarrotes,5.49,2024-10-12,2024-10-20,14,g,0
ABA003,Azúcar Rubia BELL'S Bolsa,Abarrotes,20.80,2024-10-12,2024-10-22,18,kg,0
ABA004,Galletas de Soda SAN JORGE Paquete,Abarrotes,4.40,2024-10-12,2024-10-24,13,un,0
ABA005,Mayonesa ALACENA Doypack,Abarrotes,19.60,2024-10-12,2024-10-25,16,g,0
ABA006,Galletas Saladas FIELD Soda Paquete,Abarrotes,3.70,2024-10-12,2024-10-28,11,un,0
ABA007,Aceite Vegetal PRIMOR Premium Botella,Abarrotes,9.49,2024-10-12,2024-12-01,19,ml,0
ABA008,Lenteja Bebé BELL'S Bolsa,Abarrotes,5.20,2024-10-12,2024-12-02,15,g,0
ABA009,Azúcar Rubia BELL'S Bolsa,Abarrotes,8.60,2024-10-12,2024-12-05,14,kg,0
ABA010,Arroz Extra Añejo FARAON Naranja Bolsa,Abarrotes,26.49,2024-10-12,2024-12-06,12,kg,0
ABA011,Galletas FIELD Vainilla Paquete,Abarrotes,4.70,2024-10-12,2024-12-10,17,un,0
ABA012,Arroz Extra COSTEÑO Bolsa,Abarrotes,23.90,2024-10-12,2024-12-12,18,kg,0
ABA013,Aceite Vegetal BELL'S Botella,Abarrotes,5.20,2024-10-12,2025-01-15,11,ml,0
ABA014,Trozos de Atún BELL'S en Aceite Lata,Abarrotes,3.90,2024-10-12,2025-01-20,14,un,0
ABA015,Pack Aceite Vegetal PRIMOR Premium Botella 900ml + Mayonesa ALACENA Doypack,Abarrotes,20.49,2024-10-12,2025-02-01,17,g,0
ABA016,Galletas SAYON Margarita Bolsa,Abarrotes,4.80,2024-10-12,2025-02-10,12,g,0
ABA017,Galletas Saladas RITZ sabor Original Paquete,Abarrotes,3.80,2024-10-12,2025-02-15,18,un,0
ABA018,Filete de Atún en Aceite Vegetal FLORIDA Lata,Abarrotes,6.00,2024-10-12,2025-03-10,19,g,0
ABA019,Fideos DON VITTORIO Tornillo Bolsa,Abarrotes,2.00,2024-10-12,2025-03-15,14,g,0
BEB001,Agua Mineral SAN MATEO Sin Gas Bidón,Bebidas,8.50,2024-10-12,2024-10-20,13,l,0
BEB002,Pack Gaseosa COCA COLA sin Azúcar Botella 1.5L + Gaseosa INCA KOLA sin Azúcar Botella,Bebidas,11.90,2024-10-12,2024-10-22,12,l,0
BEB003,Agua de Mesa SAN CARLOS Sin Gas Caja,Bebidas,19.20,2024-10-12,2024-10-18,11,l,0
BEB004,Agua de Mesa SAN CARLOS sin Gas Botella 500ml Paquete,Bebidas,12.90,2024-10-12,2024-10-25,15,un,0
BEB005,Gaseosa INCA KOLA Sin Azúcar Botella 300ml Paquete,Bebidas,10.00,2024-10-12,2024-10-21,14,un,0
BEB006,Gaseosa COCA COLA Sin Azúcar Botella 300ml Paquete,Bebidas,10.00,2024-10-12,2024-10-19,18,un,0
BEB007,Gaseosa INCA KOLA + COCA COLA + FANTA Botella 3L Paquete,Bebidas,24.90,2024-10-12,2024-12-30,17,un,0
BEB008,Gaseosa INCA KOLA Sin Azúcar Botella 1.5L Paquete,Bebidas,11.90,2024-10-12,2024-11-30,10,un,0
BEB009,Agua Mineral SAN MATEO sin Gas Botella,Bebidas,3.00,2024-10-12,2025-01-25,14,l,0
BEB010,Gaseosa COCA COLA Sabor Original Botella 3L Two Pack,Bebidas,19.90,2024-10-12,2025-01-15,16,un,0
BEB011,Gaseosa COCA COLA Sin Azúcar 2Pack Botella,Bebidas,11.90,2024-10-12,2025-02-20,18,l,0
BEB012,Gaseosa COCA COLA + INCA KOLA 2Pack Botella,Bebidas,19.90,2024-10-12,2025-02-15,15,l,0
BEB013,Agua de Mesa SAN LUIS Sin Gas Bidón,Bebidas,7.50,2024-10-12,2025-03-10,11,l,0
BEB014,Agua SAN LUIS sin Gas Caja,Bebidas,24.50,2024-10-12,2025-04-05,16,l,0
BEB015,Agua Mineral SAN MATEO sin Gas Botella 600ml Paquete,Bebidas,9.00,2024-10-12,2025-04-30,13,un,0
BEB016,Agua sin Gas CIELO Caja,Bebidas,23.90,2024-10-12,2025-05-10,19,l,0
BEB017,Néctar FRUGOS DEL VALLE Sabor a Durazno Caja 235ml Six Pack,Bebidas,7.90,2024-10-12,2025-03-15,12,un,0
BEB018,Agua sin Gas CIELO Bidón,Bebidas,6.80,2024-10-12,2025-05-05,18,l,0
BEB019,Agua con Gas SAN LUIS Sabor a Manzana Botella 625ml Paquete,Bebidas,11.00,2024-10-12,2025-04-20,14,un,0
BEB020,Gaseosa COCA COLA Sabor Original Botella 1L Two Pack,Bebidas,8.30,2024-10-12,2025-04-30,15,un,0
CAR001,Pollo Entero Fresco con Menudencia,"Carnes, Aves y Pescados",8.70,2024-10-12,2024-10-25,12,un,0
CAR002,Carne Molida de Res Empacada al vacío EL BUEN CORTE,"Carnes, Aves y Pescados",23.80,2024-10-12,2024-10-28,15,un,0
